id,customer_id,date,customer_region,customer_country,product_category,product_sku,review_text
1,1001,2025-01-05,North America,USA,E-commerce,EC-001,"The checkout process is too confusing and I had to re-enter my card details twice."
2,1002,2025-01-06,Europe,UK,SaaS,SA-101,"Really love the new dashboard! It's fast and much easier to navigate than before."
3,1003,2025-01-07,Asia,India,Support,SUP-009,"Customer support took too long to respond. I waited almost 3 days for a reply."
4,1004,2025-01-08,Europe,Germany,Mobile App,APP-234,"I'm happy with the product overall, but the mobile app crashes randomly when I try to upload photos."
5,1005,2025-01-08,North America,Canada,SaaS,SA-101,"Pricing is a bit high compared to competitors. Not sure if I'll renew next year."
6,1006,2025-01-09,Asia,Singapore,SaaS,SA-302,"Great experience! The team helped me set everything up within an hour."
7,1007,2025-01-10,North America,USA,Security,SEC-112,"I keep getting locked out of my account even though I reset my password. Very frustrating."
8,1008,2025-01-10,Europe,France,SaaS,SA-101,"The onboarding guide was very helpful. It made the setup quick and smooth."
9,1009,2025-01-11,Asia,Japan,SaaS,SA-101,"The dashboard loads slowly in the mornings. Might be a performance issue on your end."
10,1010,2025-01-11,North America,USA,Integrations,INT-450,"Would appreciate more integrations with tools like Slack or HubSpot."
11,1011,2025-01-12,Europe,Netherlands,Analytics,AN-020,"The analytics module is powerful but takes a while to understand. More tutorials would help."
12,1012,2025-01-12,Asia,India,Support,SUP-010,"Live chat support resolved my issue in minutes—very impressed!"
13,1013,2025-01-13,South America,Brazil,Mobile App,APP-234,"Mobile notifications are inconsistent. Sometimes I don’t get alerts at all."
14,1014,2025-01-13,North America,Canada,E-commerce,EC-002,"Payment failed twice this week. Please fix the billing system."
15,1015,2025-01-14,Europe,Spain,SaaS,SA-101,"The UI looks outdated compared to other tools I use."
16,1016,2025-01-14,Asia,Philippines,E-commerce,EC-003,"Fantastic value for the price. Exceeded my expectations!"
17,1017,2025-01-15,South America,Argentina,E-commerce,EC-004,"Search results are inaccurate when filtering by category."
18,1018,2025-01-15,Europe,Italy,Mobile App,APP-234,"The latest update fixed all the issues I was having. Thank you!"
19,1019,2025-01-16,North America,USA,SaaS,SA-302,"I wish there were more customization options in the dashboard."
20,1020,2025-01-16,Asia,Malaysia,SaaS,SA-101,"The product is good, but onboarding emails were confusing and repetitive."
